date,team,player,injury,duration,notes,long_name
2014-10-31,TOR,Joffrey Lupul,la,26,placed on IR with fractured hand,Maple Leafs
2015-01-01,TOR,Joffrey Lupul,torso,28,placed on IR with lower body injury,Maple Leafs
2015-11-30,TOR,Joffrey Lupul,torso,15,placed on IR with lower body injury,Maple Leafs
2016-02-08,TOR,Joffrey Lupul,torso,1,placed on IR with sports hernia (out for season),Maple Leafs
2013-04-05,TOR,Joffrey Lupul,head,1,concussion (DTD),Maple Leafs
2013-10-25,TOR,Joffrey Lupul,ll,1,bruised foot (DTD),Maple Leafs
2014-04-03,TOR,Joffrey Lupul,torso,1,lower body injury (DTD),Maple Leafs
2014-04-06,TOR,Joffrey Lupul,ul,1,knee injury (out for season),Maple Leafs
2014-10-15,TOR,Joffrey Lupul,torso,119,lower body injury (DTD),Maple Leafs
2009-11-24,TOR,John Mitchell,ul,42,placed on IR with knee injury,Maple Leafs
2011-01-02,TOR,John Mitchell,ul,37,placed on IR with knee injury,Maple Leafs
2008-11-07,TOR,John Mitchell,torso,111,right shoulder injury (out indefinitely),Maple Leafs
2007-03-17,TOR,John Pohl,torso,1,collarbone injury (DTD),Maple Leafs
2008-02-01,TOR,John Pohl,ll,3000,ankle injury (out indefinitely),Maple Leafs
2011-12-27,TOR,John-Michael Liles,head,36,placed on IR with concussion,Maple Leafs
2011-12-23,TOR,John-Michael Liles,head,1,sore neck (DTD),Maple Leafs
2013-03-25,TOR,John-Michael Liles,ll,ankle/leg injury (DTD),ankle/leg injury (DTD),Maple Leafs
2008-11-25,TOR,Jonas Frogren,ua,1,arm injury (out indefinitely),Maple Leafs
2009-03-08,TOR,Jonas Frogren,torso,3000,lower body injury (out indefinitely),Maple Leafs
2009-10-08,TOR,Jonas Gustavsson,ul,18,placed on IR with groin injury,Maple Leafs
2011-02-13,TOR,Jonas Gustavsson,head,1,placed on IR with heart ablation procedure,Maple Leafs
2012-03-30,TOR,Jonas Gustavsson,ul,knee injury (DTD),knee injury (DTD),Maple Leafs
2015-11-05,TOR,Jonathan Bernier,torso,6,placed on IR with lower body injury,Maple Leafs
2014-03-13,TOR,Jonathan Bernier,ul,1,groin injury (DTD),Maple Leafs
2015-02-07,TOR,Jonathan Bernier,ll,1,left leg injury (DTD),Maple Leafs
2015-11-03,TOR,Jonathan Bernier,torso,lower body injury (DTD),lower body injury (DTD),Maple Leafs
2016-02-12,TOR,Josh Leivo,torso,11,placed on IR with upper body injury,Maple Leafs
2016-10-11,TOR,Josh Leivo,torso,60,placed on IR with lower body injury,Maple Leafs
2010-10-28,TOR,Kris Versteeg,torso,77,back injury (DTD),Maple Leafs
2007-09-23,TOR,Kyle Wellwood,ul,191,groin injury (out indefinitely),Maple Leafs
2013-03-23,TOR,Leo Komarov,torso,14,placed on IR with upper body injury,Maple Leafs
2014-11-30,TOR,Leo Komarov,head,31,placed on IR with concussion,Maple Leafs
2015-01-14,TOR,Leo Komarov,torso,427,upper body injury (DTD),Maple Leafs
2008-12-08,TOR,Luke Schenn,torso,lower body injury (DTD),lower body injury (DTD),Maple Leafs
2008-01-05,TOR,Mark Bell,head,3000,orbital fracture (out indefinitely),Maple Leafs
2013-10-03,TOR,Mark Fraser,ul,36,placed on IR with knee injury,Maple Leafs
2013-05-09,TOR,Mark Fraser,head,1,head injury (out for season),Maple Leafs
2013-11-19,TOR,Mark Fraser,torso,lower body injury (DTD),lower body injury (DTD),Maple Leafs
2016-12-17,TOR,Martin Marincin,torso,35,placed on IR with lower body injury,Maple Leafs
2016-10-20,TOR,Martin Marincin,torso,lower body injury (DTD),lower body injury (DTD),Maple Leafs
2008-03-15,TOR,Mats Sundin,ul,17,strained groin (DTD),Maple Leafs
2013-02-13,TOR,Matt Frattin,ul,24,placed on IR with left knee injury (surgery) (CBC CBS),Maple Leafs
2012-03-22,TOR,Matt Frattin,ll,1,sprained ankle (DTD),Maple Leafs
2013-02-13,TOR,Matt Frattin,ul,knee injury (DTD),knee injury (DTD),Maple Leafs
2016-10-31,TOR,Matt Hunwick,torso,11,placed on IR with lower body injury,Maple Leafs
2016-03-08,TOR,Matt Hunwick,torso,232,sports hernia (surgery) (out for season),Maple Leafs
2010-10-04,TOR,Matt Lashoff,torso,placed on IR with shoulder injury,placed on IR with shoulder injury,Maple Leafs
2008-12-27,TOR,Matt Stajan,head,eye injury (DTD),eye injury (DTD),Maple Leafs
2011-11-18,TOR,Matthew Lombardi,ua,43,placed on IR with arm injury,Maple Leafs
2013-05-04,TOR,Michael Kostka,la,365,fractured finger (out for season),Maple Leafs
2010-12-01,TOR,Mike Brown,la,43,placed on IR with broken finger,Maple Leafs
2011-02-02,TOR,Mike Brown,torso,20,placed on IR with upper body injury,Maple Leafs
2011-11-25,TOR,Mike Brown,torso,43,placed on IR with lower body injury,Maple Leafs
2013-01-30,TOR,Mike Brown,torso,15,placed on IR with shoulder injury,Maple Leafs
2010-11-26,TOR,Mike Brown,ul,1,groin injury (DTD),Maple Leafs
2012-03-06,TOR,Mike Brown,la,1,hand injury (DTD),Maple Leafs
2012-03-10,TOR,Mike Brown,ul,1,bruised thigh (DTD),Maple Leafs
2013-02-14,TOR,Mike Brown,torso,shoulder injury (DTD),shoulder injury (DTD),Maple Leafs
2009-11-11,TOR,Mike Komisarek,ul,19,placed on IR with quadriceps injury,Maple Leafs
2011-11-18,TOR,Mike Komisarek,ua,50,placed on IR with broken arm,Maple Leafs
2009-11-10,TOR,Mike Komisarek,torso,1,lower body injury (left game),Maple Leafs
2010-12-09,TOR,Mike Komisarek,la,1,finger injury (DTD),Maple Leafs
2011-03-17,TOR,Mike Komisarek,torso,1,lower body injury (DTD),Maple Leafs
2013-01-29,TOR,Mike Komisarek,head,eye injury (DTD),eye injury (DTD),Maple Leafs
2008-11-09,TOR,Mike Van Ryn,head,33,placed on IR with concussion / broken nose / broken finger,Maple Leafs
2009-02-09,TOR,Mike Van Ryn,torso,19,placed on IR with lower body injury,Maple Leafs
2009-09-30,TOR,Mike Van Ryn,ul,1,placed on IR with torn MCL in left knee (out for season),Maple Leafs
2008-12-19,TOR,Mike Van Ryn,head,1,concussion (DTD),Maple Leafs
2009-03-08,TOR,Mike Van Ryn,ul,365,torn MCL in left knee (out for season),Maple Leafs
2011-11-16,TOR,Mikhail Grabovski,torso,11,placed on IR with lower body injury,Maple Leafs
2010-01-03,TOR,Mikhail Grabovski,la,1,fractured wrist (DTD),Maple Leafs
2012-04-01,TOR,Mikhail Grabovski,ll,lacerated leg (DTD),lacerated leg (DTD),Maple Leafs
2016-04-01,TOR,Milan Michalek,ul,365,knee injury (out for season),Maple Leafs
2017-02-21,TOR,Mitchell Marner,torso,7,placed on IR with upper body injury,Maple Leafs
2017-02-16,TOR,Mitchell Marner,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2017-01-18,TOR,Morgan Rielly,ul,right knee injury (DTD),right knee injury (DTD),Maple Leafs
2011-10-05,TOR,Nazem Kadri,ul,15,placed on IR with torn ligament in knee,Maple Leafs
2015-01-02,TOR,Nazem Kadri,torso,405,lower body injury (DTD),Maple Leafs
2015-12-18,TOR,Nick Spaling,torso,38,placed on IR with upper body injury,Maple Leafs
2015-11-17,TOR,Nick Spaling,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2016-03-20,TOR,Nikita Soshnikov,torso,326,lower (Y) / upper body injury (CBC) (DTD),Maple Leafs
2008-12-08,TOR,Niklas Hagman,head,80,head injury (DTD),Maple Leafs
2008-03-18,TOR,Nikolai Antropov,ul,knee injury (DTD),knee injury (DTD),Maple Leafs
2009-01-13,TOR,Nikolai Kulemin,ll,8,placed on IR with ankle injury,Maple Leafs
2013-10-03,TOR,Nikolai Kulemin,ll,30,placed on IR with chipped bone in ankle,Maple Leafs
2012-03-15,TOR,Nikolai Kulemin,la,365,fractured finger (out for season),Maple Leafs
2015-03-10,TOR,Olli Jokinen,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2013-12-16,TOR,Paul Ranger,torso,1,upper body injury (DTD),Maple Leafs
2014-03-20,TOR,Paul Ranger,head,head/neck injury (DTD),head/neck injury (DTD),Maple Leafs
2007-11-11,TOR,Pavel Kubina,ul,3000,right knee injury (out indefinitely),Maple Leafs
2015-01-01,TOR,Peter Holland,torso,27,placed on IR with upper body injury,Maple Leafs
2014-02-01,TOR,Peter Holland,ll,1,foot injury (DTD),Maple Leafs
2015-03-14,TOR,Peter Holland,torso,1,lower body injury (DTD),Maple Leafs
2016-03-18,TOR,Peter Holland,head,365,concussion (out for season),Maple Leafs
2015-10-04,TOR,Petter Granberg,ll,placed on injured/non-roster list with Achilles injury,placed on injured/non-roster list with Achilles injury,Maple Leafs
2009-10-19,TOR,Phil Kessel,torso,15,placed on IR with surgery on shoulder,Maple Leafs
2011-12-21,TOR,Philippe Dupuis,torso,13,placed on IR with upper body injury,Maple Leafs
2016-02-28,TOR,Pierre-Alexandre Parenteau,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2014-12-29,TOR,Richard Panik,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2014-12-06,TOR,Roman Polak,torso,12,placed on IR with lower body injury,Maple Leafs
2014-11-23,TOR,Roman Polak,torso,106,lower body injury (DTD),Maple Leafs
2015-11-02,TOR,Scott Harrington,torso,4,placed on IR with upper body injury,Maple Leafs
2015-10-30,TOR,Scott Harrington,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2016-02-08,TOR,Shawn Matthias,ul,whiplash (DTD),whiplash (DTD),Maple Leafs
2015-10-06,TOR,Stephane Robidas,ul,186,placed on IR with knee injury,Maple Leafs
2016-10-10,TOR,Stephane Robidas,ul,1,placed on IR with knee injury,Maple Leafs
2015-01-19,TOR,Stephane Robidas,torso,47,upper body injury (DTD),Maple Leafs
2011-10-01,TOR,Tim Connolly,torso,26,placed on IR with upper body injury,Maple Leafs
2011-11-07,TOR,Tim Connolly,torso,10,placed on IR with upper body injury,Maple Leafs
2009-01-31,TOR,Tomas Kaberle,la,28,placed on IR with broken bone in right hand,Maple Leafs
2007-03-02,TOR,Tomas Kaberle,head,1,concussion (out indefinitely),Maple Leafs
2009-03-04,TOR,Tomas Kaberle,la,10,right hand injury (DTD),Maple Leafs
2013-12-18,TOR,Trevor Smith,la,71,placed on IR with fractured hand,Maple Leafs
2015-02-17,TOR,Trevor Smith,torso,47,lower body injury (DTD),Maple Leafs
2011-12-31,TOR,Tyler Bozak,torso,17,placed on IR with shoulder injury,Maple Leafs
2013-10-27,TOR,Tyler Bozak,torso,29,placed on IR with lower body injury,Maple Leafs
2013-12-05,TOR,Tyler Bozak,torso,23,placed on IR with strained oblique muscle,Maple Leafs
2015-10-23,TOR,Tyler Bozak,torso,7,placed on IR with lower body injury,Maple Leafs
2016-02-11,TOR,Tyler Bozak,torso,41,placed on IR with upper body injury,Maple Leafs
2011-10-22,TOR,Tyler Bozak,ll,1,foot injury (DTD),Maple Leafs
2013-04-25,TOR,Tyler Bozak,torso,1334,upper body injury (DTD),Maple Leafs
2009-03-04,TOR,Vesa Toskala,ul,274,placed on IR with surgery on hip (out for season),Maple Leafs
2007-12-26,TOR,Vesa Toskala,ul,657,groin injury (DTD),Maple Leafs
2009-10-10,TOR,Viktor Stalberg,head,1,concussion (DTD),Maple Leafs
2009-12-22,TOR,Viktor Stalberg,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2010-01-03,TOR,Wayne Primeau,ul,knee injury (DTD),knee injury (DTD),Maple Leafs
2016-11-26,TOR,William Nylander,torso,upper body injury (DTD),upper body injury (DTD),Maple Leafs
2007-03-10,TOR,Yanic Perreault,torso,shoulder injury (DTD),shoulder injury (DTD),Maple Leafs
2008-02-05,VAN,Aaron Miller,ll,1,hairline fracture in leg (DTD),Canucks
2008-03-08,VAN,Aaron Miller,torso,shoulder injury (DTD),shoulder injury (DTD),Canucks
2011-01-15,VAN,Aaron Rome,ul,20,placed on IR with sprained MCL in knee,Canucks
2011-10-05,VAN,Aaron Rome,la,32,placed on IR with broken hand,Canucks
2011-11-25,VAN,Aaron Rome,la,6,placed on IR with thumb inijury,Canucks
2011-12-21,VAN,Aaron Rome,la,22,placed on IR with broken thumb,Canucks
2010-01-09,VAN,Aaron Rome,head,1,head/facial injury (DTD),Canucks
2011-01-14,VAN,Aaron Rome,ul,1,sprained MCL in knee (out indefinitely),Canucks
2011-05-22,VAN,Aaron Rome,head,1,head injury (DTD),Canucks
2011-12-19,VAN,Aaron Rome,la,1,broken thumb (DTD),Canucks
2012-03-26,VAN,Aaron Rome,ul,3000,sprained knee (out indefinitely),Canucks
2011-12-06,VAN,Aaron Volpatti,torso,-3,placed on IR with surgery on shoulder to repair torn labrum (out for season),Canucks
2016-03-15,VAN,Alex Biega,torso,upper body injury (DTD),upper body injury (DTD),Canucks
2011-01-26,VAN,Alexander Edler,torso,71,placed on IR with surgery on back,Canucks
2013-12-09,VAN,Alexander Edler,torso,35,placed on IR with lower body injury,Canucks
2015-02-19,VAN,Alexander Edler,torso,14,placed on IR with lower body injury,Canucks
2016-02-10,VAN,Alexander Edler,ll,1,placed on IR with fractured fibula (out for season),Canucks
2016-11-27,VAN,Alexander Edler,la,31,placed on IR with fractured finger,Canucks
2007-10-04,VAN,Alexander Edler,ul,1,hip injury (DTD),Canucks
2009-12-09,VAN,Alexander Edler,torso,2522,left arm body injury (DTD),Canucks
2009-10-30,VAN,Alexandre Bolduc,torso,31,placed on IR with shoulder injury,Canucks
2010-01-14,VAN,Alexandre Bolduc,torso,1,placed on IR with shoulder injury,Canucks
2010-10-11,VAN,Alexandre Bolduc,ll,55,placed on IR with high ankle sprain,Canucks
2011-01-15,VAN,Alexandre Bolduc,torso,65,placed on IR with shoulder injury,Canucks
2013-10-08,VAN,Alexandre Burrows,ll,20,placed on IR with fractured foot,Canucks
2013-12-06,VAN,Alexandre Burrows,head,43,placed on IR with fractured jaw,Canucks
2016-10-23,VAN,Alexandre Burrows,head,10,placed on IR with neck injury,Canucks
2007-04-13,VAN,Alexandre Burrows,head,1,head injury (DTD),Canucks
2010-09-17,VAN,Alexandre Burrows,torso,1,surgery on shoulder to repair torn labrum (out indefinitely),Canucks
2013-10-04,VAN,Alexandre Burrows,ll,1,bruised foot (DTD),Canucks
2013-12-02,VAN,Alexandre Burrows,head,1,fractured jaw (DTD),Canucks
2014-03-21,VAN,Alexandre Burrows,la,1,hand injury (DTD),Canucks
2014-11-20,VAN,Alexandre Burrows,torso,1,upper body injury (DTD),Canucks
2017-01-02,VAN,Alexandre Burrows,head,eye injury (DTD),eye injury (DTD),Canucks
2011-02-15,VAN,Andrew Alberts,la,1,"placed on IR with broken wrist (surgery, out for season)",Canucks
2014-01-07,VAN,Andrew Alberts,head,1,placed on IR with concussion (out for season),Canucks
2010-10-27,VAN,Andrew Alberts,ul,1,knee injury (DTD),Canucks
2011-01-17,VAN,Andrew Alberts,torso,1,right shoulder injury (DTD),Canucks
2011-04-19,VAN,Andrew Alberts,la,1,broken wrist (out for season) (CBC),Canucks
2013-12-30,VAN,Andrew Alberts,head,365,concussion (out for season),Canucks
2012-01-15,VAN,Andrew Ebbett,torso,76,placed on IR with broken collarbone,Canucks
2011-11-11,VAN,Andrew Ebbett,ll,1,fractured foot (DTD),Canucks
2012-01-07,VAN,Andrew Ebbett,torso,3000,broken collarbone (out indefinitely),Canucks
2017-01-17,VAN,Anton Rodin,ul,-100,placed on IR with knee injury,Canucks
2015-11-19,VAN,Ben Hutton,torso,446,placed on IR with lower body injury,Canucks
2015-12-03,VAN,Ben Hutton,torso,lower body injury (DTD),lower body injury (DTD),Canucks
2014-10-06,VAN,Bo Horvat,torso,15,placed on IR with upper body injury,Canucks
2017-02-14,VAN,Bo Horvat,torso,lower body injury (DTD),lower body injury (DTD),Canucks
2007-12-12,VAN,Brad Isbister,ul,3000,hamstring injury (out indefinitely),Canucks
2015-01-30,VAN,Brad Richardson,torso,42,placed on IR with lower body injury,Canucks
2015-01-19,VAN,Brad Richardson,torso,1,lower body injury (DTD),Canucks
2015-03-19,VAN,Brad Richardson,ll,ankle injury (DTD),ankle injury (DTD),Canucks
2015-10-28,VAN,Brandon Prust,ll,24,placed on IR with ankle injury,Canucks
2016-01-03,VAN,Brandon Prust,ll,leg injury (DTD),leg injury (DTD),Canucks
2015-11-21,VAN,Brandon Sutter,torso,66,placed on IR with hernia,Canucks
2016-02-10,VAN,Brandon Sutter,head,1,placed on IR with fractured jaw (out for season),Canucks
2015-11-12,VAN,Brandon Sutter,torso,hernia (DTD),hernia (DTD),Canucks
2017-03-10,VAN,Brendan Gaunce,torso,upper body injury (DTD),upper body injury (DTD),Canucks
2007-12-12,VAN,Brendan Morrison,la,1,wrist injury (out indefinitely),Canucks
2008-03-28,VAN,Brendan Morrison,ul,3000,torn ACL in right knee (out indefinitely),Canucks
2007-04-11,VAN,Brent Sopel,torso,back spasms (DTD),back spasms (DTD),Canucks
2011-10-05,VAN,Byron Bitz,torso,90,placed on IR with sports hernia,Canucks
2012-02-19,VAN,Byron Bitz,ul,hip flexor injury (DTD),hip flexor injury (DTD),Canucks
2008-02-27,VAN,Byron Ritchie,torso,17,back injury (DTD),Canucks
2015-10-06,VAN,Chris Higgins,ll,1,placed on IR with foot injury,Canucks
2011-12-06,VAN,Chris Higgins,ll,1,foot injury (DTD) (CBC),Canucks
2011-12-27,VAN,Chris Higgins,la,1,hand injury (DTD),Canucks
2013-03-21,VAN,Chris Higgins,torso,1110,back injury (DTD),Canucks
2010-04-06,VAN,Christian Ehrhoff,ul,1,sprained left knee (out indefinitely),Canucks
2010-12-09,VAN,Christian Ehrhoff,head,1,concussion (DTD),Canucks
2011-05-22,VAN,Christian Ehrhoff,torso,shoulder injury (DTD),shoulder injury (DTD),Canucks
2014-01-29,VAN,Christopher Tanev,la,30,placed on IR with fractured thumb,Canucks
2015-02-21,VAN,Christopher Tanev,torso,16,placed on IR with upper body injury,Canucks
2015-12-28,VAN,Christopher Tanev,torso,4,placed on IR with lower body injury,Canucks
2016-10-28,VAN,Christopher Tanev,torso,5,placed on IR with lower body injury,Canucks
2016-11-03,VAN,Christopher Tanev,torso,1,placed on IR with lower body injury,Canucks
2011-04-02,VAN,Christopher Tanev,torso,1,upper body injury (DTD),Canucks
2013-04-08,VAN,Christopher Tanev,ll,1,leg injury (out for season),Canucks
2014-03-18,VAN,Christopher Tanev,la,1,hand injury / fractured finger (out for season),Canucks
2015-02-05,VAN,Christopher Tanev,head,1,concussion-like symptoms (DTD),Canucks
2015-11-08,VAN,Christopher Tanev,torso,426,upper body injury (DTD),Canucks
2011-12-11,VAN,Cody Hodgson,head,head injury (DTD),head injury (DTD),Canucks
2011-04-24,VAN,Cory Schneider,torso,731,lower body injury (left game),Canucks
2008-12-01,VAN,Curtis Sanford,torso,1,back spasms (DTD),Canucks
2008-12-31,VAN,Curtis Sanford,ul,3000,groin injury (out indefinitely),Canucks
2013-03-28,VAN,Dale Weise,torso,9,placed on IR with shoulder injury,Canucks
2013-10-25,VAN,Dale Weise,ll,25,placed on IR with leg injury,Canucks
2012-02-09,VAN,Dale Weise,ll,1,foot injury (DTD),Canucks
2013-03-26,VAN,Dale Weise,torso,3000,shoulder injury (out indefinitely),Canucks
2014-11-21,VAN,Dan Hamhuis,torso,55,placed on IR with lower body injury,Canucks
2015-10-27,VAN,Dan Hamhuis,torso,6,placed on IR with lower body injury,Canucks
2015-12-10,VAN,Dan Hamhuis,torso,58,placed on IR with facial fractures,Canucks
2010-10-18,VAN,Dan Hamhuis,ll,1,foot injury (DTD),Canucks
2011-02-10,VAN,Dan Hamhuis,head,1,concussion (DTD),Canucks
2011-06-02,VAN,Dan Hamhuis,torso,365,lower body injury (out for season),Canucks
2009-10-10,VAN,Daniel Sedin,ll,43,placed on IR with fractured left foot,Canucks
2014-03-05,VAN,Daniel Sedin,ul,18,placed on IR with strained left hamstring,Canucks
2010-04-01,VAN,Daniel Sedin,torso,1,back injury (DTD),Canucks
2012-03-22,VAN,Daniel Sedin,head,1,head injury (DTD),Canucks
2014-03-04,VAN,Daniel Sedin,ul,3000,strained left hamstring (out indefinitely),Canucks
2008-10-20,VAN,Darcy Hordichuk,ul,1,sprained knee (DTD),Canucks
2008-12-02,VAN,Darcy Hordichuk,ll,3000,broken foot (out indefinitely),Canucks
2011-12-08,VAN,David Booth,ul,439,placed on IR with sprained MCL in right knee,Canucks
2013-03-17,VAN,David Booth,ll,1,placed on IR with left ankle injury (out for season),Canucks
2011-12-07,VAN,David Booth,ul,1,sprained MCL in right knee (DTD),Canucks
2013-10-25,VAN,David Booth,torso,lower body injury (DTD),lower body injury (DTD),Canucks
2016-10-23,VAN,Derek Dorsett,torso,10,placed on IR with shoulder injury,Canucks
2016-11-18,VAN,Derek Dorsett,torso,1,placed on IR with shoulder injury,Canucks
2016-12-05,VAN,Derek Dorsett,head,1,placed on IL with surgery on neck,Canucks
2015-01-30,VAN,Derek Dorsett,torso,410,lower body injury (DTD),Canucks
2016-12-16,VAN,Erik Gudbranson,la,placed on IR with wrist injury,placed on IR with wrist injury,Canucks
2014-10-06,VAN,Frank Corrado,torso,3,placed on IR with upper body injury,Canucks
2015-02-11,VAN,Frank Corrado,torso,18,placed on IR with upper body injury,Canucks
2014-10-21,VAN,Frank Corrado,torso,upper body injury (DTD),upper body injury (DTD),Canucks
2010-11-05,VAN,Guillaume Desbiens,la,placed on IR with broken right hand,placed on IR with broken right hand,Canucks
2014-01-19,VAN,Henrik Sedin,torso,1,bruised ribs (DTD),Canucks
2014-02-06,VAN,Henrik Sedin,la,1,bruised ribs & finger injury (DTD),Canucks
2014-03-24,VAN,Henrik Sedin,ll,1,leg injury (DTD),Canucks
2015-12-18,VAN,Henrik Sedin,torso,79,lower body injury (DTD),Canucks
2016-11-23,VAN,Jack Skille,torso,upper body injury (DTD),upper body injury (DTD),Canucks
2015-10-07,VAN,Jacob Markstrom,torso,1,placed on IR with lower body injury (Y),Canucks
2015-10-10,VAN,Jacob Markstrom,ul,30,placed on IR with hamstring injury,Canucks
2017-02-27,VAN,Jacob Markstrom,torso,-509,placed on IR with lower body injury,Canucks
2015-12-01,VAN,Jake Virtanen,torso,8,placed on IR with upper body injury,Canucks
2009-02-22,VAN,Jannik Hansen,la,32,placed on IR with broken pinky finger,Canucks
2009-09-30,VAN,Jannik Hansen,la,43,placed on IR with right hand injury,Canucks
2013-10-23,VAN,Jannik Hansen,torso,25,placed on IR with upper body injury,Canucks
2016-01-08,VAN,Jannik Hansen,torso,9,placed on IR with upper body injury,Canucks
2016-11-07,VAN,Jannik Hansen,torso,34,placed on IR with shoulder injury / fractured ribs,Canucks
2016-12-23,VAN,Jannik Hansen,ul,43,placed on IR with knee injury,Canucks
2007-09-21,VAN,Jannik Hansen,la,1,broken thumb (out indefinitely),Canucks
2008-11-02,VAN,Jannik Hansen,ul,1,groin injury (DTD),Canucks
2009-02-20,VAN,Jannik Hansen,la,1,broken pinky finger (DTD),Canucks
2014-12-22,VAN,Jannik Hansen,torso,1,upper body injury (DTD),Canucks
2016-12-23,VAN,Jannik Hansen,ul,knee injury (DTD),knee injury (DTD),Canucks
2014-04-10,VAN,Jason Garrison,torso,lower body injury (DTD),lower body injury (DTD),Canucks
2016-10-29,VAN,Jayson Megna,torso,21,placed on IR with shoulder injury,Canucks
2007-10-15,VAN,Jeff Cowan,ul,1,hip flexor (DTD),Canucks
2007-12-11,VAN,Jeff Cowan,torso,shoulder injury (DTD),shoulder injury (DTD),Canucks
2013-09-30,VAN,Jordan Schroeder,ll,15,placed on IR with fractured left foot,Canucks
2013-10-19,VAN,Jordan Schroeder,ll,94,placed on IR with ankle injury,Canucks
2007-03-02,VAN,Josh Green,ul,sprained right knee (out 3-5 weeks),sprained right knee (out 3-5 weeks),Canucks
2011-02-08,VAN,Keith Ballard,ul,14,placed on IR with sprained right knee,Canucks
2012-02-18,VAN,Keith Ballard,head,55,placed on IR with headaches,Canucks
2013-04-03,VAN,Keith Ballard,ll,5,placed on IR wtih fractured foot,Canucks
2010-10-17,VAN,Keith Ballard,head,1,concussion (DTD),Canucks
2011-11-17,VAN,Keith Ballard,torso,1,back injury (out indefinitely),Canucks
2012-02-13,VAN,Keith Ballard,head,1,headaches (DTD),Canucks
2013-03-06,VAN,Keith Ballard,torso,1,lower body injury (DTD),Canucks
2013-03-28,VAN,Keith Ballard,ll,1,fractured foot (DTD),Canucks
2013-04-21,VAN,Keith Ballard,torso,strained back (DTD),strained back (DTD),Canucks
2008-11-13,VAN,Kevin Bieksa,ll,14,placed on IR with broken foot,Canucks
2011-03-08,VAN,Kevin Bieksa,ll,15,placed on IR with fractured left foot,Canucks
2014-01-30,VAN,Kevin Bieksa,ll,27,placed on IR with bruised foot,Canucks
2015-01-30,VAN,Kevin Bieksa,la,42,placed on IR with fractured hand,Canucks
2007-11-03,VAN,Kevin Bieksa,ll,1,lacerated calf (out indefinitely),Canucks
2008-10-13,VAN,Kevin Bieksa,ul,1,left knee injury (DTD),Canucks
2009-12-30,VAN,Kevin Bieksa,ll,1,lacerated leg (out indefinitely),Canucks
2013-02-22,VAN,Kevin Bieksa,ul,1,groin injury (DTD),Canucks
2013-04-16,VAN,Kevin Bieksa,torso,1,lower body injury (DTD),Canucks
2015-01-21,VAN,Kevin Bieksa,la,fractured hand (DTD),fractured hand (DTD),Canucks
2009-10-25,VAN,Kyle Wellwood,ll,broken right big toe (DTD),broken right big toe (DTD),Canucks
2008-10-07,VAN,Lawrence Nycholat,torso,9,placed on IR with back injury,Canucks
2011-02-03,VAN,Lee Sweatt,ll,4,placed on IR with foot injury,Canucks
2016-04-04,VAN,Linden Vey,torso,365,upper body injury (out for season),Canucks
2017-03-07,VAN,Loui Eriksson,torso,lower body injury (DTD),lower body injury (DTD),Canucks
2015-11-01,VAN,Luca Sbisa,ll,17,placed on IR with foot injury,Canucks
2015-12-09,VAN,Luca Sbisa,la,38,placed on IR with hand injury,Canucks
2014-11-09,VAN,Luca Sbisa,torso,1,lower body injury (DTD),Canucks
2015-12-03,VAN,Luca Sbisa,la,1,hand injury (DTD),Canucks
2016-03-15,VAN,Luca Sbisa,torso,365,upper body injury (out for season),Canucks
2007-10-15,VAN,Lukas Krajicek,ll,39,foot injury (DTD),Canucks
2011-03-17,VAN,Manny Malhotra,head,79,placed on IR with left eye injury,Canucks
2013-02-14,VAN,Manny Malhotra,head,365,placed on IR with eye injury (out for season),Canucks
2016-03-15,VAN,Markus Granlund,torso,upper body injury (DTD),upper body injury (DTD),Canucks
2011-10-05,VAN,Mason Raymond,torso,57,placed on IR with fractured vertebrae,Canucks
2010-12-10,VAN,Mason Raymond,la,1,broken left thumb (DTD),Canucks
2011-03-07,VAN,Mason Raymond,torso,756,shoulder injury (DTD),Canucks
2009-09-29,VAN,Mathieu Schneider,torso,26,placed on IR recovering from surgery on shoulder,Canucks
2009-04-19,VAN,Mats Sundin,ul,sore groin (DTD),sore groin (DTD),Canucks
2007-04-13,VAN,Matt Cooke,ul,groin injury (DTD),groin injury (DTD),Canucks
2007-03-25,VAN,Mattias Ohlund,ua,1,elbow injury (DTD),Canucks
2007-12-23,VAN,Mattias Ohlund,torso,1,back spasms (DTD),Canucks
2008-03-05,VAN,Mattias Ohlund,ul,8,knee injury (DTD),Canucks
2009-11-01,VAN,Michael Grabner,ll,48,placed on IR with fractured ankle,Canucks
2010-03-17,VAN,Mikael Samuelsson,torso,1,upper body injury (DTD),Canucks
2010-12-06,VAN,Mikael Samuelsson,head,1,concussion (DTD),Canucks
2011-03-22,VAN,Mikael Samuelsson,torso,1,lower body injury (DTD),Canucks
2011-05-08,VAN,Mikael Samuelsson,ll,1,left leg injury (out for season),Canucks
